Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"107 SIXTH STREET NW",WAUKON,IA,52172,43.290026,-91.445754,0.33,place,,,Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
"104 WALNUT ST E",NUMA,IA,52544,40.689111,-92.976654,0.9,range_interpolation,104,"Hwy J46",Centerville,IA,"Appanoose County",52544,US,"TIGER/Line® dataset from the US Census Bureau"
"112 W MAIN ST",EXLINE,IA,52555,40.648041,-92.840366,0.5,range_interpolation,112,"Co Rd T30",Exline,IA,"Appanoose County",52555,US,"TIGER/Line® dataset from the US Census Bureau"
"600 CHS DR",CENTERVILLE,IA,52544,40.686447,-92.881614,0.33,place,,,Centerville,IA,"Appanoose County",52544,US,"TIGER/Line® dataset from the US Census Bureau"
"600 CHS DR",CENTERVILLE,IA,52544,40.686447,-92.881614,0.33,place,,,Centerville,IA,"Appanoose County",52544,US,"TIGER/Line® dataset from the US Census Bureau"
"1800 S 11TH ST",CENTERVILLE,IA,52544,40.742806,-92.875787,0.4,street_center,,"N 11th St",Centerville,IA,"Appanoose County",52544,US,"TIGER/Line® dataset from the US Census Bureau"
"311 3RD ST",PLANO,IA,52581,40.754746,-93.046914,0.6,street_center,,"3rd St",Plano,IA,"Appanoose County",52581,US,"TIGER/Line® dataset from the US Census Bureau"
"102 DEPOT LN",CINCINNATI,IA,52549,40.626921,-92.953118,0.33,place,,,Cincinnati,IA,"Appanoose County",52549,US,"TIGER/Line® dataset from the US Census Bureau"
"114 E CHARITON ST",MORAVIA,IA,52571,40.890974,-92.813299,1,range_interpolation,114,"E Chariton St",Moravia,IA,"Appanoose County",52571,US,"TIGER/Line® dataset from the US Census Bureau"
"33214 415TH ST",UNIONVILLE,IA,52594,40.877905,-92.649212,1,range_interpolation,33214,"415th St",Unionville,IA,"Appanoose County",52594,US,"TIGER/Line® dataset from the US Census Bureau"
"600 CHS DR",CENTERVILLE,IA,52544,40.686447,-92.881614,0.33,place,,,Centerville,IA,"Appanoose County",52544,US,"TIGER/Line® dataset from the US Census Bureau"
"300 WEST MAIN ST.",MYSTIC,IA,52574,40.777435,-92.950321,0.6,street_center,,"W Main St",Mystic,IA,"Appanoose County",52574,US,"TIGER/Line® dataset from the US Census Bureau"
"111 S MAIN ST",MOULTON,IA,52572,40.684017,-92.676989,1,range_interpolation,111,"S Main St",Moulton,IA,"Appanoose County",52572,US,"TIGER/Line® dataset from the US Census Bureau"
"600 TRACY ST.",AUDUBON,IA,50025,41.716904,-94.928477,1,range_interpolation,600,"Tracy St",Audubon,IA,"Audubon County",50025,US,"TIGER/Line® dataset from the US Census Bureau"
"106 N. JEFFERSON ST.",EXIRA,IA,50076,41.591182,-94.876453,0.9,range_interpolation,106,"N Jefferson St",Exira,IA,"Audubon County",50076,US,"TIGER/Line® dataset from the US Census Bureau"
"610 13TH AVE","BELLE PLAINE",IA,52208,41.890168,-92.268511,1,rooftop,610,"13th Ave","Belle Plaine",IA,"Benton County",52208,US,"Benton County"
"610 13TH AVE","BELLE PLAINE",IA,52208,41.890168,-92.268511,1,rooftop,610,"13th Ave","Belle Plaine",IA,"Benton County",52208,US,"Benton County"
"610 13 AVE","BELLE PLAINE",IA,52208,41.890168,-92.268511,1,rooftop,610,"13th Ave","Belle Plaine",IA,"Benton County",52208,US,"Benton County"
"203 COTTAGE ST NW",SHELLSBURG,IA,52332,42.096419,-91.871874,1,rooftop,203,"Cottage St NW",Shellsburg,IA,"Benton County",52332,US,"Benton County"
"500 1ST AVE","VAN HORNE",IA,52346,42.007703,-92.091122,1,range_interpolation,500,"1st Ave","Van Horne",IA,"Benton County",52346,US,"TIGER/Line® dataset from the US Census Bureau"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"206 3RD AVE",NEWHALL,IA,52315,41.992529,-91.965785,1,range_interpolation,206,"3rd Ave",Newhall,IA,"Benton County",52315,US,"TIGER/Line® dataset from the US Census Bureau"
"100 SCHOOL DR",NORWAY,IA,52318,41.903709,-91.92912,1,rooftop,100,"School Dr",Norway,IA,"Benton County",52318,US,"Benton County"
"217 4TH AVE",ATKINS,IA,52206,41.994434,-91.866986,1,rooftop,217,"4th Ave",Atkins,IA,"Benton County",52206,US,"Benton County"
"201 E PINE ST",GARRISON,IA,52229,42.142404,-92.141362,0.8,range_interpolation,201,"Pine St",Garrison,IA,"Benton County",52229,US,"TIGER/Line® dataset from the US Census Bureau"
"305 LOUCST ST NW",BLAIRSTOWN,IA,52209,41.908692,-92.084672,1,rooftop,305,"Locust St NW",Blairstown,IA,"Benton County",52209,US,"Benton County"
"280 4TH ST",KEYSTONE,IA,52249,42.002566,-92.197096,1,range_interpolation,280,"4th St",Keystone,IA,"Benton County",52249,US,"TIGER/Line® dataset from the US Census Bureau"
"202 W MAIN ST",URBANA,IA,52345,42.225004,-91.873786,1,rooftop,202,"W Main St",Urbana,IA,"Benton County",52345,US,"Benton County"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"210 W 21ST ST",VINTON,IA,52349,42.151977,-92.025191,1,rooftop,210,"W 21st St",Vinton,IA,"Benton County",52349,US,"Benton County"
"120 5TH ST N",WALFORD,IA,52351,41.87166,-91.832824,0.2,range_interpolation,120,"5th Ave W",Walford,IA,"Benton County",52351,US,"TIGER/Line® dataset from the US Census Bureau"
"115 W MAIN ST",DUNKERTON,IA,50626,42.57216,-92.160857,1,range_interpolation,115,"W Main St",Dunkerton,IA,"Black Hawk County",50626,US,"TIGER/Line® dataset from the US Census Bureau"
"203 E TOWER ST",DUNKERTON,IA,50626,42.568235,-92.159311,1,range_interpolation,203,"E Tower St",Dunkerton,IA,"Black Hawk County",50626,US,"TIGER/Line® dataset from the US Census Bureau"
"515 FILMORE ST","LAPORTE CITY",IA,50651,42.307956,-92.189308,1,rooftop,515,"Fillmore St","La Porte City",IA,"Black Hawk County",50651,US,"City of Waterloo"
"245 S WASHINGTON ST",HUDSON,IA,50643,42.400034,-92.455101,1,rooftop,245,"S Washington St",Hudson,IA,"Black Hawk County",50643,US,"City of Waterloo"
"245 S WASHINGTON ST",HUDSON,IA,50643,42.400034,-92.455101,1,rooftop,245,"S Washington St",Hudson,IA,"Black Hawk County",50643,US,"City of Waterloo"
"2419 FERN AVE","CEDAR FALLS",IA,50613,42.5578,-92.45278,1,rooftop,2419,"Fern Ave","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"321 W 8TH ST","CEDAR FALLS",IA,50613,42.531555,-92.448327,1,range_interpolation,321,"W 8th St","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"321 W 8TH ST","CEDAR FALLS",IA,50613,42.531555,-92.448327,1,range_interpolation,321,"W 8th St","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"2526 ASHWORTH DR","CEDAR FALLS",IA,50613,42.493157,-92.47771,1,rooftop,2526,"Ashworth Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"2526 ASHWORTH DR","CEDAR FALLS",IA,50613,42.493157,-92.47771,1,rooftop,2526,"Ashworth Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"627 ORCHARD DR","CEDAR FALLS",IA,50613,42.505073,-92.438431,1,rooftop,627,"Orchard Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"616 HOLMES DR","CEDAR FALLS",IA,50613,42.53409,-92.470328,1,range_interpolation,616,"Holmes Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"616 HOLMES DR","CEDAR FALLS",IA,50613,42.53409,-92.470328,1,range_interpolation,616,"Holmes Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"063 SABIN-MAUCKER","CEDAR FALLS",IA,50613,42.517091,-92.43585,0.33,place,,,"Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"3909 ROWND ST","CEDAR FALLS",IA,50613,42.503024,-92.42232,1,rooftop,3909,"Rownd St","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"2417 RAINBOW DR","CEDAR FALLS",IA,50613,42.517552,-92.417679,1,rooftop,2417,"Rainbow Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"1227 W 27TH ST","CEDAR FALLS",IA,50613,42.513263,-92.497397,0.6,street_center,,"W 27th St","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"2417 RAINBOW DR","CEDAR FALLS",IA,50613,42.517552,-92.417679,1,rooftop,2417,"Rainbow Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"3909 ROWND ST","CEDAR FALLS",IA,50613,42.503024,-92.42232,1,rooftop,3909,"Rownd St","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"627 ORCHARD DR","CEDAR FALLS",IA,50613,42.505073,-92.438431,1,rooftop,627,"Orchard Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"245 S WASHINGTON ST",HUDSON,IA,50643,42.400034,-92.455101,1,rooftop,245,"S Washington St",Hudson,IA,"Black Hawk County",50643,US,"City of Waterloo"
"316 MCCOY RD","ELK RUN HEIGHTS",IA,50707,42.467309,-92.262496,1,rooftop,316,"Mc Coy Rd",Evansdale,IA,"Black Hawk County",50707,US,"City of Waterloo"
"1138 CENTRAL AVE",EVANSDALE,IA,50707,42.469036,-92.277165,1,range_interpolation,1138,"Central Ave",Evansdale,IA,"Black Hawk County",50707,US,"TIGER/Line® dataset from the US Census Bureau"
"1138 CENTRAL AVE",EVANSDALE,IA,50707,42.469036,-92.277165,1,range_interpolation,1138,"Central Ave",Evansdale,IA,"Black Hawk County",50707,US,"TIGER/Line® dataset from the US Census Bureau"
"812 IDAHO ST",WATERLOO,IA,50701,42.49581,-92.307616,0.9,range_interpolation,812,"Idaho St",Waterloo,IA,"Black Hawk County",50703,US,"TIGER/Line® dataset from the US Census Bureau"
"225 COMMERCIAL ST",WATERLOO,IA,50701,42.498368,-92.342142,1,rooftop,225,"Commercial St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"2419 FERN AVE","CEDAR FALLS",IA,50613,42.5578,-92.45278,1,rooftop,2419,"Fern Ave","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"1410 INDEPENDENCE AVE",WATERLOO,IA,50703,42.496529,-92.30539,1,rooftop,1410,"Independence Ave",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"225 COMMERCIAL ST",WATERLOO,IA,50701,42.498368,-92.342142,1,rooftop,225,"Commercial St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"515 FILMORE ST","LAPORTE CITY",IA,50651,42.307956,-92.189308,1,rooftop,515,"Fillmore St","La Porte City",IA,"Black Hawk County",50651,US,"City of Waterloo"
"616 HOLMES DR","CEDAR FALLS",IA,50613,42.53409,-92.470328,1,range_interpolation,616,"Holmes Dr","Cedar Falls",IA,"Black Hawk County",50613,US,"TIGER/Line® dataset from the US Census Bureau"
"2125 W LONE TREE ROAD","CEDAR FALLS",IA,50613,42.5634,-92.471818,1,rooftop,2125,"W Lone Tree Rd","Cedar Falls",IA,"Black Hawk County",50613,US,"City of Waterloo"
"1239 SHELDON ST",WATERLOO,IA,50701,42.496284,-92.388984,1,range_interpolation,1239,"Sheldon St",Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"3712 CEDAR HIGHS DR",WATERLOO,IA,50702,42.441117,-92.282911,0.4,range_interpolation,3712,"Cedar Terrace Dr",Waterloo,IA,"Black Hawk County",50702,US,"TIGER/Line® dataset from the US Census Bureau"
"1115 W 5TH ST",WATERLOO,IA,50702,42.486291,-92.348002,1,rooftop,1115,"W 5th St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"1350 KATOSKI DR",WATERLOO,IA,50701,42.494343,-92.399068,1,rooftop,1350,"Katoski Dr",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1239 SHELDON ST",WATERLOO,IA,50701,42.496284,-92.388984,1,range_interpolation,1239,"Sheldon St",Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"312 RACHAEL ST",WATERLOO,IA,50701,42.462842,-92.362213,1,range_interpolation,312,"Rachael St",Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"5805 KIMBALL AVE",WATERLOO,IA,50701,42.431716,-92.355175,1,rooftop,5805,"Kimball Ave",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1304 OREGON ST",WATERLOO,IA,50702,42.472045,-92.333756,1,rooftop,1304,"Oregon St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"1304 OREGON ST",WATERLOO,IA,50702,42.472045,-92.333756,1,rooftop,1304,"Oregon St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"2615 WASHINGTON ST",WATERLOO,IA,50702,42.47422,-92.320549,1,rooftop,2615,"Washington St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"5805 KIMBALL AVE",WATERLOO,IA,50701,42.431716,-92.355175,1,rooftop,5805,"Kimball Ave",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"312 RACHAEL ST.",WATERLOO,IA,50701,42.462842,-92.362213,1,range_interpolation,312,"Rachael St",Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"214 HIGH ST",WATERLOO,IA,50703,42.501976,-92.329065,1,rooftop,214,"High St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"302 CEDAR BEND ST",WATERLOO,IA,50703,42.519409,-92.3636,1,rooftop,302,"Cedar Bend St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"1516 WASHINGTON ST",WATERLOO,IA,50702,42.485198,-92.333684,1,rooftop,1516,"Washington St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"302 CEDAR BEND ST",WATERLOO,IA,50703,42.519409,-92.3636,1,rooftop,302,"Cedar Bend St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"1350 KATOSKI DR",WATERLOO,IA,50701,42.494343,-92.399068,1,rooftop,1350,"Katoski Dr",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1350 KATOSKI DR",WATERLOO,IA,50701,42.494343,-92.399068,1,rooftop,1350,"Katoski Dr",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1410 INDEPENDENCE AVE",WATERLOO,IA,50703,42.496529,-92.30539,1,rooftop,1410,"Independence Ave",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"214 HIGH ST",WATERLOO,IA,50703,42.501976,-92.329065,1,rooftop,214,"High St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"225 COMMERCIAL ST",WATERLOO,IA,50703,42.498368,-92.342142,0.9,rooftop,225,"Commercial St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1410 INDEPENDENCE AVE",WATERLOO,IA,50703,42.496529,-92.30539,1,rooftop,1410,"Independence Ave",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"1224 MOBILE ST",WATERLOO,IA,50703,42.509146,-92.32181,1,rooftop,1224,"Mobile St",Waterloo,IA,"Black Hawk County",50703,US,"City of Waterloo"
"812 IDAHO ST",WATERLOO,IA,50703,42.49581,-92.307616,1,range_interpolation,812,"Idaho St",Waterloo,IA,"Black Hawk County",50703,US,"TIGER/Line® dataset from the US Census Bureau"
"201 SUNSET RD",WATERLOO,IA,50701,42.479343,-92.362181,1,rooftop,201,"Sunset Rd",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"201 SUNSET RD",WATERLOO,IA,50701,42.479343,-92.362181,1,rooftop,201,"Sunset Rd",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1115 W 5TH ST",WATERLOO,IA,50702,42.486291,-92.348002,1,rooftop,1115,"W 5th St",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"425 E RIDGEWAY AVE",WATERLOO,IA,50702,42.471237,-92.352119,1,rooftop,425,"E Ridgeway Ave",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"425 E RIDGEWAY AVE",WATERLOO,IA,50702,42.471237,-92.352119,1,rooftop,425,"E Ridgeway Ave",Waterloo,IA,"Black Hawk County",50702,US,"City of Waterloo"
"225 COMMERCIAL ST",WATERLOO,IA,50701,42.498368,-92.342142,1,rooftop,225,"Commercial St",Waterloo,IA,"Black Hawk County",50701,US,"City of Waterloo"
"1640 1ST ST",BOONE,IA,50036,42.056495,-93.865655,1,rooftop,1640,"1st St",Boone,IA,"Boone County",50036,US,Boone
"1125 HANCOCK DR",BOONE,IA,50036,42.045789,-93.874884,1,rooftop,1125,"Hancock Dr",Boone,IA,"Boone County",50036,US,Boone
"500 7TH ST",BOONE,IA,50036,42.06173,-93.887552,1,rooftop,500,"7th St",Boone,IA,"Boone County",50036,US,Boone
"500 7TH ST",BOONE,IA,50036,42.06173,-93.887552,1,rooftop,500,"7th St",Boone,IA,"Boone County",50036,US,Boone
"1903 CRAWFORD ST",BOONE,IA,50036,42.075581,-93.88691,1,rooftop,1903,"Crawford St",Boone,IA,"Boone County",50036,US,Boone
"7 LUTHER ST",LUTHER,IA,50152,41.938679,-93.837061,0.33,place,,,Luther,IA,"Boone County",50152,US,"TIGER/Line® dataset from the US Census Bureau"
"599 N KENNEDY AVE",MADRID,IA,50157,41.883335,-93.815556,0.9,rooftop,599,"N Kennedy Ave",Madrid,IA,"Boone County",50156,US,Boone
"599 N KENNEDY AVE",MADRID,IA,50157,41.883335,-93.815556,0.9,rooftop,599,"N Kennedy Ave",Madrid,IA,"Boone County",50156,US,Boone
"313 W SYCAMORE ST",OGDEN,IA,50212,42.041575,-94.03195,1,rooftop,313,"W Sycamore St",Ogden,IA,"Boone County",50212,US,Boone
"599 N KENNEDY AVE",MADRID,IA,50157,41.883335,-93.815556,0.9,rooftop,599,"N Kennedy Ave",Madrid,IA,"Boone County",50156,US,Boone
"599 N KENNEDY AVE",MADRID,IA,50157,41.883335,-93.815556,0.9,rooftop,599,"N Kennedy Ave",Madrid,IA,"Boone County",50156,US,Boone
"34 CEDAR ST",WOODWARD,IA,50276,41.85469,-93.920833,0.1,street_center,,"S Cedar Ave",Woodward,IA,"Dallas County",50276,US,"TIGER/Line® dataset from the US Census Bureau"
"313 W SYCAMORE ST",OGDEN,IA,50212,42.041575,-94.03195,1,rooftop,313,"W Sycamore St",Ogden,IA,"Boone County",50212,US,Boone
"112 PILOT ST","PILOT MOUND",IA,50223,42.162,-94.017652,1,range_interpolation,112,"Pilot St","Pilot Mound",IA,"Boone County",50223,US,"TIGER/Line® dataset from the US Census Bureau"
"1284 U AVE",BOONE,IA,50036,42.025283,-93.77667,1,rooftop,1284,"U Ave",Boone,IA,"Boone County",50036,US,Boone
"541 E EAGLE ST",DENVER,IA,50622,42.670389,-92.331481,1,rooftop,541,"E Eagle St",Denver,IA,"Bremer County",50622,US,Bremer
"113 3RD ST",FREDERIKA,IA,50674,42.883045,-92.305225,0.9,range_interpolation,113,"3rd St",Frederika,IA,"Bremer County",50631,US,"TIGER/Line® dataset from the US Census Bureau"
"505 BARRICK RD",JANESVILLE,IA,50647,42.649602,-92.459828,1,rooftop,505,"Barrick Rd",Janesville,IA,"Bremer County",50647,US,Bremer
"707 MAIN ST",PLAINFIELD,IA,50666,42.846766,-92.537178,1,rooftop,707,"Main St",Plainfield,IA,"Bremer County",50666,US,Bremer
"200 E 4TH ST",READLYN,IA,50668,42.703696,-92.224574,1,rooftop,200,"E 4th St",Readlyn,IA,"Bremer County",50668,US,Bremer
"802 W 6TH ST",SUMNER,IA,50674,42.852564,-92.10662,1,rooftop,802,"W 6th St",Sumner,IA,"Bremer County",50674,US,Bremer
"110 1ST AVE SW",TRIPOLI,IA,50676,42.808332,-92.259177,1,rooftop,110,"1st Ave SW",Tripoli,IA,"Bremer County",50676,US,Bremer
"221 15TH ST NW",WAVERLY,IA,50677,42.727495,-92.488689,1,rooftop,221,"15th St NW",Waverly,IA,"Bremer County",50677,US,Bremer
"501 HERITAGE WAY",WAVERLY,IA,50677,42.722695,-92.495193,0.6,street_center,,"State Hwy 3",Waverly,IA,"Bremer County",50677,US,"TIGER/Line® dataset from the US Census Bureau"
"501 HERITAGE WAY",WAVERLY,IA,50677,42.722695,-92.495193,0.6,street_center,,"State Hwy 3",Waverly,IA,"Bremer County",50677,US,"TIGER/Line® dataset from the US Census Bureau"
"100 WARTBURG BLVD",WAVERLY,IA,50677,42.774781,-92.403969,0.33,place,,,Waverly,IA,"Bremer County",50677,US,"TIGER/Line® dataset from the US Census Bureau"
"1405 4TH AVE SW",WAVERLY,IA,50677,42.721584,-92.487344,1,range_interpolation,1405,"4th Ave SW",Waverly,IA,"Bremer County",50677,US,"TIGER/Line® dataset from the US Census Bureau"
"1405 4TH AVE SW",WAVERLY,IA,50677,42.721584,-92.487344,1,range_interpolation,1405,"4th Ave SW",Waverly,IA,"Bremer County",50677,US,"TIGER/Line® dataset from the US Census Bureau"
"401 WOODRUFF ST",AURORA,IA,50607,42.618951,-91.729395,1,rooftop,401,"Woodruff St",Aurora,IA,"Buchanan County",50607,US,Buchanan
"609 MAIN ST",BRANDON,IA,52210,42.314302,-92.00351,1,range_interpolation,609,"Main St",Brandon,IA,"Buchanan County",52210,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"111 3RD ST N",HAZELTON,IA,50641,42.617637,-91.906796,0.9,range_interpolation,111,"3rd St N",Hazleton,IA,"Buchanan County",50641,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
"1301 1ST ST W",INDEPENDENCE,IA,50644,42.468675,-91.908918,1,range_interpolation,1301,"1st St W",Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
